Circuit: * Z:\media\salim\home2\salim\KiCad\AM_FM_Transceiver\Draft1.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409797
Heightened Def Con from 0.0409797 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
Heightened Def Con from 0.0409798 +++++++++++++++to 0.0409798
